miRNA	targetID	symbol
Hsa-miR-29a	129293	TRABD2A
Hsa-miR-29a	105374836	LOC105374836
Hsa-miR-29a	8665	EIF3F
Hsa-miR-29a	22801	ITGA11
Hsa-miR-29a	56938	ARNTL2
Hsa-miR-29a	60677	CELF6
Hsa-miR-29a	11201	POLI
Hsa-miR-29a	89832	CHRFAM7A
Hsa-miR-29a	79845	RNF122
Hsa-miR-29a	23272	TASOR
Hsa-miR-29a	10402	ST3GAL6
Hsa-miR-29a	4782	NFIC
Hsa-miR-30b	1951	CELSR3
Hsa-miR-30b	4267	CD99
Hsa-miR-30b	8726	EED
Hsa-miR-30b	254065	BRWD3
Hsa-miR-30b	57763	ANKRA2
Hsa-miR-30b	27161	AGO2
Hsa-miR-30b	431707	LHX8
Hsa-miR-30b	2664	GDI1
Hsa-miR-30b	6326	SCN2A
Hsa-miR-30b	27252	KLHL20
Hsa-miR-30b	2944	GSTM1
Hsa-miR-30b	6688	SPI1
Hsa-miR-30b	57716	PRX
Hsa-miR-30b	4014	LORICRIN
Hsa-miR-30b	10138	YAF2
Hsa-miR-30b	133522	PPARGC1B
Hsa-miR-30b	27327	TNRC6A
Hsa-miR-30b	57157	PHTF2
Hsa-miR-30b	57156	TMEM63C
Hsa-miR-30b	51465	UBE2J1
Hsa-miR-30b	6335	SCN9A
Hsa-miR-30b	6615	SNAI1
Hsa-miR-30b	154467	CCDC167
Hsa-miR-30b	10181	RBM5
Hsa-miR-30b	9211	LGI1
Hsa-miR-30b	6236	RRAD
Hsa-miR-30b	283373	ANKRD52
Hsa-miR-30b	70	ACTC1
Hsa-miR-30b	23590	PDSS1
Hsa-miR-30b	5305	PIP4K2A
Hsa-miR-30b	4010	LMX1B
Hsa-miR-30b	84569	LYZL1
Hsa-miR-30b	2537	IFI6
Hsa-miR-30b	55450	CAMK2N1
Hsa-miR-30b	6432	SRSF7
Hsa-miR-30b	84134	TOMM40L
Hsa-miR-30b	344	APOC2
Hsa-miR-30b	10391	CORO2B
Hsa-miR-30b	23468	CBX5
Hsa-miR-30b	9134	CCNE2
Hsa-miR-30b	6769	STAC
Hsa-miR-30b	121268	RHEBL1
Hsa-miR-30b	118670	FAM24A
Hsa-miR-30b	57700	FAM160B1
Hsa-miR-30b	26232	FBXO2
Hsa-miR-30b	23518	R3HDM1
Hsa-miR-30b	8651	SOCS1
Hsa-miR-30b	2582	GALE
Hsa-miR-30b	100113407	TMEM170B
Hsa-miR-30b	376267	RAB15
Hsa-miR-30b	6323	SCN1A
Hsa-miR-30b	100533990	APOC4-APOC2
Hsa-miR-30b	84937	ZNRF1
Hsa-miR-30b	219790	RTKN2
Hsa-miR-30b	2135	EXTL2
Hsa-miR-30b	345	APOC3
Hsa-miR-30b	4907	NT5E
Hsa-miR-30b	51029	DESI2
Hsa-miR-30b	6328	SCN3A
Hsa-miR-30b	885	CCK
Hsa-miR-30b	255520	ELMOD2
Hsa-miR-30b	57620	STIM2
Hsa-miR-30b	5217	PFN2
Hsa-miR-30b	7071	KLF10
Hsa-miR-30b	2356	FPGS
Hsa-miR-30b	5899	RALB
Hsa-miR-30b	3198	HOXA1
Hsa-miR-30b	4209	MEF2D
Hsa-miR-30b	7803	PTP4A1
Hsa-miR-30b	23060	ZNF609
Hsa-miR-30b	1305	COL13A1
Hsa-miR-30b	9229	DLGAP1
Hsa-miR-30b	10234	LRRC17
Hsa-miR-30b	53944	CSNK1G1
Hsa-miR-30b	203228	C9orf72
Hsa-miR-30b	1521	CTSW
Hsa-miR-30b	57583	TMEM181
Hsa-miR-30b	9143	SYNGR3
Hsa-miR-30b	9794	MAML1
Hsa-miR-30b	119180	LYZL2
Hsa-miR-30b	167153	TENT2
Hsa-miR-30b	84206	MEX3B
Hsa-miR-30b	517	ATP5MC2
Hsa-miR-30b	5921	RASA1
Hsa-miR-30b	51455	REV1
Hsa-miR-30b	55144	LRRC8D
Hsa-miR-30b	23023	TMCC1
Hsa-miR-30b	92346	C1orf105
Hsa-miR-30b	54882	ANKHD1
Hsa-miR-30b	92140	MTDH
Hsa-miR-30b	221303	FAM162B
Hsa-miR-30b	26057	ANKRD17
Hsa-miR-30b	374864	CCDC178
Hsa-miR-30b	2191	FAP
Hsa-miR-30b	10802	SEC24A
Hsa-miR-30b	254048	UBN2
Hsa-miR-30b	5326	PLAGL2
Hsa-miR-30b	23034	SAMD4A
Hsa-miR-30b	57687	VAT1L
Hsa-miR-30b	23335	WDR7
Hsa-miR-30b	10371	SEMA3A
Hsa-miR-30b	55690	PACS1
Hsa-miR-30b	81553	CYRIA
Hsa-miR-30b	254827	NAALADL2
Hsa-miR-30b	7329	UBE2I
Hsa-miR-30b	7681	MKRN3
Hsa-miR-30b	3191	HNRNPL
Hsa-miR-30b	90324	CCDC97
Hsa-miR-30b	51130	ASB3
Hsa-miR-30b	196528	ARID2
Hsa-miR-30b	27347	STK39
Hsa-miR-30b	149951	COMMD7
Hsa-miR-30b	9140	ATG12
Hsa-miR-30b	55718	POLR3E
Hsa-miR-30b	10078	TSSC4
Hsa-miR-30b	57670	KIAA1549
Hsa-miR-30b	96459	FNIP1
Hsa-miR-30b	389421	LIN28B
Hsa-miR-30b	5738	PTGFRN
Hsa-miR-30b	367	AR
Hsa-miR-30b	2067	ERCC1
Hsa-miR-30b	10106	CTDSP2
Hsa-miR-30b	333926	PPM1J
Hsa-miR-30b	55600	ITLN1
Hsa-miR-30b	26280	IL1RAPL2
Hsa-miR-30b	124808	CCDC43
Hsa-miR-30b	79020	C7orf25
Hsa-miR-30b	166968	MIER3
Hsa-miR-30b	23613	ZMYND8
Hsa-miR-30b	29080	CCDC59
Hsa-miR-30b	833	CARS1
Hsa-miR-30b	1979	EIF4EBP2
Hsa-miR-30b	84978	FRMD5
Hsa-miR-30b	8411	EEA1
Hsa-miR-30b	253558	LCLAT1
Hsa-miR-30b	1317	SLC31A1
Hsa-miR-30b	4284	MIP
Hsa-miR-30b	4830	NME1
Hsa-miR-30b	10342	TFG
Hsa-miR-30b	388	RHOB
Hsa-miR-30b	1471	CST3
Hsa-miR-30b	647309	GMNC
Hsa-miR-30b	1019	CDK4
Hsa-miR-30b	100131655	ZNF236-DT
Hsa-miR-30b	389118	CDHR4
Hsa-miR-30b	5534	PPP3R1
Hsa-miR-30b	3746	KCNC1
Hsa-miR-30b	4929	NR4A2
Hsa-miR-30b	5733	PTGER3
Hsa-miR-30b	1302	COL11A2
Hsa-miR-30b	54813	KLHL28
Hsa-miR-30b	123263	MTFMT
Hsa-miR-30b	639	PRDM1
Hsa-miR-30b	222546	RFX6
Hsa-miR-30b	2002	ELK1
Hsa-miR-30b	112936	VPS26B
Hsa-miR-30b	23576	DDAH1
Hsa-miR-30b	25963	TMEM87A
Hsa-miR-30b	10981	RAB32
Hsa-miR-30b	85369	STRIP1
Hsa-miR-30b	112574	SNX18
Hsa-miR-30b	2948	GSTM4
Hsa-miR-30b	84313	VPS25
Hsa-miR-30b	441457	NUTM2G
Hsa-miR-30b	79567	RIPOR1
Hsa-miR-30b	375593	TRIM73
Hsa-miR-30b	389273	LINC02213
Hsa-miR-30b	799	CALCR
Hsa-miR-30b	84196	USP48
Hsa-miR-30b	8204	NRIP1
Hsa-miR-30b	5783	PTPN13
Hsa-miR-30b	64096	GFRA4
Hsa-miR-30b	57116	ZNF695
Hsa-miR-30b	84530	SRRM4
Hsa-miR-30b	4974	OMG
Hsa-miR-30b	54985	HCFC1R1
Hsa-miR-30b	113263	GLCCI1
Hsa-miR-30b	5926	ARID4A
Hsa-miR-30b	51633	OTUD6B
Hsa-miR-30b	53916	RAB4B
Hsa-miR-30b	860	RUNX2
Hsa-miR-30b	9474	ATG5
Hsa-miR-30b	57497	LRFN2
Hsa-miR-30b	6560	SLC12A4
Hsa-miR-30b	64089	SNX16
Hsa-miR-30b	1740	DLG2
Hsa-miR-30b	2520	GAST
Hsa-miR-30b	51621	KLF13
Hsa-miR-30b	9435	CHST2
Hsa-miR-30b	27253	PCDH17
Hsa-miR-30b	6484	ST3GAL4
Hsa-miR-30b	22998	LIMCH1
Hsa-miR-30b	5916	RARG
Hsa-miR-30b	55182	RNF220
Hsa-miR-30b	5222	PGA5
Hsa-miR-30b	78994	PRR14
Hsa-miR-30b	6844	VAMP2
Hsa-miR-30b	2281	FKBP1B
Hsa-miR-30b	27245	AHDC1
Hsa-miR-30b	643847	PGA4
Hsa-miR-30b	10344	CCL26
Hsa-miR-30b	56301	SLC7A10
Hsa-miR-30b	23682	RAB38
Hsa-miR-30b	84630	TTBK1
Hsa-miR-30b	5293	PIK3CD
Hsa-miR-30b	6992	PPP1R11
Hsa-miR-30b	84002	B3GNT5
Hsa-miR-30b	5908	RAP1B
Hsa-miR-30b	8974	P4HA2
Hsa-miR-30b	55796	MBNL3
Hsa-miR-30b	51161	C3orf18
Hsa-miR-30b	2932	GSK3B
Hsa-miR-30b	254528	MEIOB
Hsa-miR-30b	64137	ABCG4
Hsa-miR-30b	55423	SIRPG
Hsa-miR-30b	9710	GARRE1
Hsa-miR-30b	440073	IQSEC3
Hsa-miR-30b	57631	LRCH2
Hsa-miR-30b	23119	HIC2
Hsa-miR-30b	27436	EML4
Hsa-miR-30b	158358	KIAA2026
Hsa-miR-30b	817	CAMK2D
Hsa-miR-30b	84451	MAP3K21
Hsa-miR-30b	57575	PCDH10
Hsa-miR-30b	51809	GALNT7
Hsa-miR-30b	22862	FNDC3A
Hsa-miR-30b	5087	PBX1
Hsa-miR-30b	665	BNIP3L
Hsa-miR-30b	829	CAPZA1
Hsa-miR-30b	4654	MYOD1
Hsa-miR-30b	11057	ABHD2
Hsa-miR-30b	9693	RAPGEF2
Hsa-miR-30b	57610	RANBP10
Hsa-miR-30b	4919	ROR1
Hsa-miR-30b	4811	NID1
Hsa-miR-30b	3174	HNF4G
Hsa-miR-30b	11047	ADRM1
Hsa-miR-30b	138241	C9orf85
Hsa-miR-30b	84570	COL25A1
Hsa-miR-30b	5092	PCBD1
Hsa-miR-30b	57695	USP37
Hsa-miR-30b	117283	IP6K3
Hsa-miR-30b	90	ACVR1
Hsa-miR-30b	55640	FLVCR2
Hsa-miR-30b	55664	CDC37L1
Hsa-miR-30b	221092	HNRNPUL2
Hsa-miR-30b	90139	TSPAN18
Hsa-miR-30b	80227	PAAF1
Hsa-miR-30b	54521	WDR44
Hsa-miR-30b	55726	INTS13
Hsa-miR-30b	80854	SETD7
Hsa-miR-30b	4144	MAT2A
Hsa-miR-30b	115426	UHRF2
Hsa-miR-30b	144402	CPNE8
Hsa-miR-30b	643834	PGA3
Hsa-miR-30b	23152	CIC
Hsa-miR-30b	1808	DPYSL2
Hsa-miR-30b	339210	C17orf67
Hsa-miR-30b	6095	RORA
Hsa-miR-30b	10590	SCGN
Hsa-miR-30b	2560	GABRB1
Hsa-miR-30b	9021	SOCS3
Hsa-miR-30b	9890	PLPPR4
Hsa-miR-30b	391712	TRIM61
Hsa-miR-30b	4725	NDUFS5
Hsa-miR-30b	65078	RTN4R
Hsa-miR-30b	9644	SH3PXD2A
Hsa-miR-30b	4605	MYBL2
Hsa-miR-30b	23504	RIMBP2
Hsa-miR-30b	26267	FBXO10
Hsa-miR-30b	54880	BCOR
Hsa-miR-30b	55209	SETD5
Hsa-miR-30b	84920	ALG10
Hsa-miR-30b	5869	RAB5B
Hsa-miR-30b	30820	KCNIP1
Hsa-miR-30b	11151	CORO1A
Hsa-miR-30b	221035	REEP3
Hsa-miR-30b	23013	SPEN
Hsa-miR-30b	65108	MARCKSL1
Hsa-miR-30b	3340	NDST1
Hsa-miR-30b	27254	CSDC2
Hsa-miR-30b	5795	PTPRJ
Hsa-miR-30b	83604	TMEM47
Hsa-miR-30b	23112	TNRC6B
Hsa-miR-30b	84967	LSM10
Hsa-miR-30b	254251	LCORL
Hsa-miR-30b	8618	CADPS
Hsa-miR-30b	27125	AFF4
Hsa-miR-30b	4355	MPP2
Hsa-miR-30b	80829	ZFP91
Hsa-miR-30b	51527	GSKIP
Hsa-miR-30b	147746	HIPK4
Hsa-miR-30b	6603	SMARCD2
Hsa-miR-30b	57507	ZNF608
Hsa-miR-30b	79869	CPSF7
Hsa-miR-30b	5756	TWF1
Hsa-miR-30b	9857	CEP350
Hsa-miR-30b	51421	AMOTL2
Hsa-miR-30b	10974	ADIRF
Hsa-miR-30b	7763	ZFAND5
Hsa-miR-30b	5922	RASA2
Hsa-miR-30b	79036	KXD1
Hsa-miR-30b	120939	TMEM52B
Hsa-miR-30b	55818	KDM3A
Hsa-miR-30b	85440	DOCK7
Hsa-miR-30b	2771	GNAI2
Hsa-miR-30b	11069	RAPGEF4
Hsa-miR-30b	11045	UPK1A
Hsa-miR-30b	566	AZU1
Hsa-miR-30b	23467	NPTXR
Hsa-miR-30b	57473	ZNF512B
Hsa-miR-30b	2264	FGFR4
Hsa-miR-30b	8893	EIF2B5
Hsa-miR-30b	58508	KMT2C
Hsa-miR-30b	2589	GALNT1
Hsa-miR-30b	10725	NFAT5
Hsa-miR-30b	6843	VAMP1
Hsa-miR-30b	378108	TRIM74
Hsa-miR-30b	150275	CCDC117
Hsa-miR-30b	2731	GLDC
Hsa-miR-30b	5045	FURIN
Hsa-miR-30b	5481	PPID
Hsa-miR-30b	11052	CPSF6
Hsa-miR-30b	57403	RAB22A
Hsa-miR-30b	1452	CSNK1A1
Hsa-miR-30b	10396	ATP8A1
Hsa-miR-30b	4135	MAP6
Hsa-miR-30b	10661	KLF1
Hsa-miR-30b	64067	NPAS3
Hsa-miR-30b	491	ATP2B2
Hsa-miR-30b	57551	TAOK1
Hsa-miR-30b	5033	P4HA1
Hsa-miR-30b	2790	GNG10
Hsa-miR-30b	79443	FYCO1
Hsa-miR-30b	79959	CEP76
Hsa-miR-30b	29802	VPREB3
Hsa-miR-30b	219938	SPATA19
Hsa-miR-30b	1441	CSF3R
Hsa-miR-30b	91746	YTHDC1
Hsa-miR-30b	64780	MICAL1
Hsa-miR-30b	25946	ZNF385A
Hsa-miR-30b	80023	NRSN2
Hsa-miR-30b	2029	ENSA
Hsa-miR-30b	152816	ODAPH
Hsa-miR-30b	7976	FZD3
Hsa-miR-30b	8453	CUL2
Hsa-miR-30b	2891	GRIA2
Hsa-miR-30b	5918	RARRES1
Hsa-miR-30b	55734	ZFP64
Hsa-miR-30b	2913	GRM3
Hsa-miR-30b	56204	FAM214A
Hsa-miR-30b	23531	MMD
Hsa-miR-30b	10657	KHDRBS1
Hsa-miR-30b	9215	LARGE1
Hsa-miR-30b	10814	CPLX2
Hsa-miR-30b	160	AP2A1
Hsa-miR-30b	23333	DPY19L1
Hsa-miR-30b	81848	SPRY4
Hsa-miR-30b	122953	JDP2
Hsa-miR-30b	26229	B3GAT3
Hsa-miR-30b	55631	LRRC40
Hsa-miR-30b	10060	ABCC9
Hsa-miR-30b	10484	SEC23A
Hsa-miR-30b	5266	PI3
Hsa-miR-30b	55814	BDP1
Hsa-miR-30b	953	ENTPD1
Hsa-miR-30b	123016	TTC8
Hsa-miR-30b	2009	EML1
Hsa-miR-30b	116150	NUS1
Hsa-miR-30b	57630	SH3RF1
Hsa-miR-30b	81565	NDEL1
Hsa-miR-30b	7027	TFDP1
Hsa-miR-30b	4542	MYO1F
Hsa-miR-30b	2487	FRZB
Hsa-miR-30b	5238	PGM3
Hsa-miR-30b	4773	NFATC2
Hsa-miR-30b	9374	PPT2
Hsa-miR-30b	9423	NTN1
Hsa-miR-30b	4150	MAZ
Hsa-miR-30b	4899	NRF1
Hsa-miR-30b	8728	ADAM19
Hsa-miR-30b	157769	FAM91A1
Hsa-miR-30b	344191	EVX2
Hsa-miR-30b	147199	SCGB1C1
Hsa-miR-30b	342371	ATXN1L
Hsa-miR-30b	10379	IRF9
Hsa-miR-30b	65263	PYCR3
Hsa-miR-30b	83714	NRIP2
Hsa-miR-30b	54567	DLL4
Hsa-miR-30b	4817	NIT1
Hsa-miR-30b	2297	FOXD1
Hsa-miR-30b	26166	RGS22
Hsa-miR-30b	54842	MFSD6
Hsa-miR-30b	170679	PSORS1C1
Hsa-miR-30b	11135	CDC42EP1
Hsa-miR-30b	8301	PICALM
Hsa-miR-30b	10124	ARL4A
Hsa-miR-30b	3655	ITGA6
Hsa-miR-30b	9832	JAKMIP2
Hsa-miR-30b	9512	PMPCB
Hsa-miR-30b	84333	PCGF5
Hsa-miR-30b	390110	ACCSL
Hsa-miR-30b	3987	LIMS1
Hsa-miR-30b	55833	UBAP2
Hsa-miR-30b	80267	EDEM3
Hsa-miR-30b	25953	PNKD
Hsa-miR-30b	9758	FRMPD4
Hsa-miR-30b	140739	UBE2F
Hsa-miR-30b	23317	DNAJC13
Hsa-miR-30b	2287	FKBP3
Hsa-miR-30b	56999	ADAMTS9
Hsa-miR-30b	6322	SCML1
Hsa-miR-30b	8036	SHOC2
Hsa-miR-30b	80031	SEMA6D
Hsa-miR-30b	124540	MSI2
Hsa-miR-30b	154807	VKORC1L1
Hsa-miR-30b	51646	YPEL5
Hsa-miR-30b	26000	TBC1D10B
Hsa-miR-30b	115908	CTHRC1
Hsa-miR-30b	220134	SKA1
Hsa-miR-30b	79739	TTLL7
Hsa-miR-30b	4775	NFATC3
Hsa-miR-30b	5771	PTPN2
Hsa-miR-30b	641649	TMEM91
Hsa-miR-30b	10216	PRG4
Hsa-miR-30b	847	CAT
Hsa-miR-30b	10752	CHL1
Hsa-miR-30b	5599	MAPK8
Hsa-miR-30b	23080	AVL9
Hsa-miR-30b	22826	DNAJC8
Hsa-miR-30b	221223	CES5A
Hsa-miR-30b	9099	USP2
Hsa-miR-30b	2054	STX2
Hsa-miR-30b	60481	ELOVL5
Hsa-miR-30b	197003	MGC15885
Hsa-miR-30b	115584	SLC5A11
Hsa-miR-30b	441151	TMEM151B
Hsa-miR-30b	10007	GNPDA1
Hsa-miR-30b	8019	BRD3
Hsa-miR-30b	23373	CRTC1
Hsa-miR-30b	90199	WFDC8
Hsa-miR-30b	4015	LOX
Hsa-miR-30b	54344	DPM3
Hsa-miR-30b	6662	SOX9
Hsa-miR-30b	8675	STX16
Hsa-miR-30b	9929	JOSD1
Hsa-miR-30b	84100	ARL6
Hsa-miR-30b	1107	CHD3
Hsa-miR-30b	8900	CCNA1
Hsa-miR-30b	50626	CYHR1
Hsa-miR-30b	90427	BMF
Hsa-miR-30b	64115	VSIR
Hsa-miR-30b	7379	UPK2
Hsa-miR-30b	6258	RXRG
Hsa-miR-30b	5077	PAX3
Hsa-miR-30b	5277	PIGA
Hsa-miR-30b	11022	TDRKH
Hsa-miR-30b	25925	ZNF521
Hsa-miR-30b	55049	REX1BD
Hsa-miR-30b	125170	MIEF2
Hsa-miR-30b	80256	FAM214B
Hsa-miR-30b	126298	IRGQ
Hsa-miR-30b	9125	CNOT9
Hsa-miR-30b	4734	NEDD4
Hsa-miR-30b	2590	GALNT2
Hsa-miR-30b	57616	TSHZ3
Hsa-miR-30b	375449	MAST4
Hsa-miR-30b	79139	DERL1
Hsa-miR-30b	22893	BAHD1
Hsa-miR-30b	51661	FKBP7
Hsa-miR-30b	63974	NEUROD6
Hsa-miR-30b	4659	PPP1R12A
Hsa-miR-30b	3594	IL12RB1
Hsa-miR-30b	51715	RAB23
Hsa-miR-30b	6443	SGCB
Hsa-miR-30b	29994	BAZ2B
Hsa-miR-30b	93185	IGSF8
Hsa-miR-30b	4781	NFIB
Hsa-miR-30b	51537	MTFP1
Hsa-miR-30b	55714	TENM3
Hsa-miR-30b	389541	LAMTOR4
Hsa-miR-30b	9191	DEDD
Hsa-miR-30b	4478	MSN
Hsa-miR-30b	8678	BECN1
Hsa-miR-30b	51763	INPP5K
Hsa-miR-30b	85403	EAF1
Hsa-miR-30b	112476	PRRT2
Hsa-miR-30b	6473	SHOX
Hsa-miR-30b	23338	JADE2
Hsa-miR-30b	79690	GAL3ST4
Hsa-miR-30b	54978	SLC35F6
Hsa-miR-30b	27065	NSG1
Hsa-miR-30b	25	ABL1
Hsa-miR-30b	170506	DHX36
Hsa-miR-30b	55716	LMBR1L
Hsa-miR-30b	55617	TASP1
Hsa-miR-30b	5094	PCBP2
Hsa-miR-30b	905	CCNT2
Hsa-miR-30b	2591	GALNT3
Hsa-miR-30b	5445	PON2
Hsa-miR-30b	84146	ZNF644
Hsa-miR-30b	55074	OXR1
Hsa-miR-30b	6334	SCN8A
Hsa-miR-30b	80335	WDR82
Hsa-miR-30b	114876	OSBPL1A
Hsa-miR-30b	5144	PDE4D
Hsa-miR-30b	120935	CCDC38
Hsa-miR-30b	11094	CACFD1
Hsa-miR-30b	9945	GFPT2
Hsa-miR-30b	54822	TRPM7
Hsa-miR-30b	10422	UBAC1
Hsa-miR-30b	144100	PLEKHA7
Hsa-miR-30b	2803	GOLGA4
Hsa-miR-30b	728833	FAM72D
Hsa-miR-30b	4071	TM4SF1
Hsa-miR-30b	8633	UNC5C
Hsa-miR-30b	83795	KCNK16
Hsa-miR-30b	53831	GPR84
Hsa-miR-30b	83857	TMTC1
Hsa-miR-30b	7079	TIMP4
Hsa-miR-30b	2078	ERG
Hsa-miR-30b	53938	PPIL3
Hsa-miR-30b	653820	FAM72B
Hsa-miR-30b	399979	SNX19
Hsa-miR-30b	653857	ACTR3C
Hsa-miR-30b	80183	RUBCNL
Hsa-miR-30b	140699	MROH8
Hsa-miR-30b	931	MS4A1
Hsa-miR-30b	64946	CENPH
Hsa-miR-30b	54511	HMGCLL1
Hsa-miR-30b	57718	PPP4R4
Hsa-miR-30b	3226	HOXC10
Hsa-miR-30b	2628	GATM
Hsa-miR-30b	23176	SEPTIN8
Hsa-miR-30b	11273	ATXN2L
Hsa-miR-30b	649	BMP1
Hsa-miR-30b	4210	MEFV
Hsa-miR-30b	5524	PTPA
Hsa-miR-30b	4808	NHLH2
Hsa-miR-30b	22858	CILK1
Hsa-miR-30b	9690	UBE3C
Hsa-miR-30b	2178	FANCE
Hsa-miR-30b	6363	CCL19
Hsa-miR-30b	57030	SLC17A7
Hsa-miR-30b	10428	CFDP1
Hsa-miR-30b	120863	DEPDC4
Hsa-miR-30b	9166	EBAG9
Hsa-miR-30b	1788	DNMT3A
Hsa-miR-30b	27107	ZBTB11
Hsa-miR-30b	783	CACNB2
Hsa-miR-30b	861	RUNX1
Hsa-miR-30b	4644	MYO5A
Hsa-miR-30b	1340	COX6B1
Hsa-miR-30b	55327	LIN7C
Hsa-miR-30b	126755	LRRC38
Hsa-miR-30b	142891	SAMD8
Hsa-miR-30b	4684	NCAM1
Hsa-miR-30b	25978	CHMP2B
Hsa-miR-30b	374383	NCR3LG1
Hsa-miR-30b	54541	DDIT4
Hsa-miR-30b	130733	TMEM178A
Hsa-miR-30b	9513	FXR2
Hsa-miR-30b	8577	TMEFF1
Hsa-miR-30b	8534	CHST1
Hsa-miR-30b	219527	LRRC55
Hsa-miR-30b	55638	SYBU
Hsa-miR-30b	53917	RAB24
Hsa-miR-30b	9767	JADE3
Hsa-miR-30b	116113	FOXP4
Hsa-miR-30b	79800	CARF
Hsa-miR-30b	5887	RAD23B
Hsa-miR-30b	4040	LRP6
Hsa-miR-30b	7067	THRA
Hsa-miR-30b	28996	HIPK2
Hsa-miR-30b	23315	SLC9A8
Hsa-miR-30b	1277	COL1A1
Hsa-miR-30b	54891	INO80D
Hsa-miR-30b	10019	SH2B3
Hsa-miR-30b	440163	RNASE13
Hsa-miR-30b	55379	LRRC59
Hsa-miR-30b	80209	PROSER1
Hsa-miR-30b	5147	PDE6D
Hsa-miR-30b	84961	FBXL20
Hsa-miR-30b	23627	PRND
Hsa-miR-30b	4234	METTL1
Hsa-miR-30b	9369	NRXN3
Hsa-miR-30b	10900	RUNDC3A
Hsa-miR-30b	23439	ATP1B4
Hsa-miR-30b	23443	SLC35A3
Hsa-miR-30b	3714	JAG2
Hsa-miR-30b	3455	IFNAR2
Hsa-miR-30b	29102	DROSHA
Hsa-miR-30b	8514	KCNAB2
Hsa-miR-30b	79033	ERI3
Hsa-miR-30b	5058	PAK1
Hsa-miR-30b	865	CBFB
Hsa-miR-30b	10926	DBF4
Hsa-miR-30b	5890	RAD51B
Hsa-miR-30b	64708	COPS7B
Hsa-miR-30b	7534	YWHAZ
Hsa-miR-30b	57128	LYRM4
Hsa-miR-30b	64766	S100PBP
Hsa-miR-30b	6856	SYPL1
Hsa-miR-30b	22936	ELL2
Hsa-miR-30b	11322	TMC6
Hsa-miR-30b	55816	DOK5
Hsa-miR-30b	84159	ARID5B
Hsa-miR-30b	1299	COL9A3
Hsa-miR-30b	26205	GMEB2
Hsa-miR-30b	63940	GPSM3
Hsa-miR-30b	6502	SKP2
Hsa-miR-30b	286133	SCARA5
Hsa-miR-30b	5713	PSMD7
Hsa-miR-30b	9657	IQCB1
Hsa-miR-30b	2151	F2RL2
Hsa-miR-30b	9129	PRPF3
Hsa-miR-30b	1643	DDB2
Hsa-miR-30b	10587	TXNRD2
Hsa-miR-30b	10178	TENM1
Hsa-miR-30b	10963	STIP1
Hsa-miR-30b	57038	RARS2
Hsa-miR-30b	51655	RASD1
Hsa-miR-30b	84502	JPH4
Hsa-miR-30b	7552	ZNF711
Hsa-miR-30b	90362	FAM110B
Hsa-miR-30b	146	ADRA1D
Hsa-miR-30b	51060	TXNDC12
Hsa-miR-30b	26005	C2CD3
Hsa-miR-30b	112939	NACC1
Hsa-miR-30b	285761	DCBLD1
Hsa-miR-30b	23012	STK38L
Hsa-miR-30b	10313	RTN3
Hsa-miR-30b	245972	ATP6V0D2
Hsa-miR-30b	116151	FAM210B
Hsa-miR-30b	51380	CSAD
Hsa-miR-30b	399665	FAM102A
Hsa-miR-30b	7456	WIPF1
Hsa-miR-30b	285848	PNPLA1
Hsa-miR-30b	164	AP1G1
Hsa-miR-30b	10972	TMED10
Hsa-miR-30b	6367	CCL22
Hsa-miR-30b	58513	EPS15L1
Hsa-miR-30b	222	ALDH3B2
Hsa-miR-30b	51742	ARID4B
Hsa-miR-30b	26119	LDLRAP1
Hsa-miR-30b	4916	NTRK3
Hsa-miR-30b	6710	SPTB
Hsa-miR-30b	145270	PRIMA1
Hsa-miR-30b	5923	RASGRF1
Hsa-miR-30b	386617	KCTD8
Hsa-miR-30b	200933	FBXO45
Hsa-miR-30b	7514	XPO1
Hsa-miR-30b	23649	POLA2
Hsa-miR-30b	139231	FAM199X
Hsa-miR-30b	51163	DBR1
Hsa-miR-30b	2649	NR6A1
Hsa-miR-30b	64795	RMND5A
Hsa-miR-30b	51018	RRP15
Hsa-miR-30b	9213	XPR1
Hsa-miR-30b	51109	RDH11
Hsa-miR-30b	6271	S100A1
Hsa-miR-30b	51734	MSRB1
Hsa-miR-30b	9688	NUP93
Hsa-miR-30b	131177	FAM3D
Hsa-miR-30b	9262	STK17B
Hsa-miR-30b	8270	LAGE3
Hsa-miR-30b	10121	ACTR1A
Hsa-miR-30b	10154	PLXNC1
Hsa-miR-30b	57381	RHOJ
Hsa-miR-30b	4857	NOVA1
Hsa-miR-30b	3142	HLX
Hsa-miR-30b	221662	RBM24
Hsa-miR-30b	5339	PLEC
Hsa-miR-30b	23031	MAST3
Hsa-miR-30b	58490	RPRD1B
Hsa-miR-30b	84904	ARHGEF39
Hsa-miR-30b	23640	HSPBP1
Hsa-miR-30b	5049	PAFAH1B2
Hsa-miR-30b	29887	SNX10
Hsa-miR-30b	29855	UBN1
Hsa-miR-30b	10493	VAT1
Hsa-miR-30b	22932	POMZP3
Hsa-miR-30b	10026	PIGK
Hsa-miR-30b	9849	ZNF518A
Hsa-miR-30b	2800	GOLGA1
Hsa-miR-30b	5296	PIK3R2
Hsa-miR-30b	6310	ATXN1
Hsa-miR-30b	122786	FRMD6
Hsa-miR-30b	388512	CLEC17A
Hsa-miR-30b	55586	MIOX
Hsa-miR-30b	3096	HIVEP1
